HyLogger,Scan_Date,Dataset_file,Quartz_8625_mean,Quartz_8625_stddev,samples,sample_type
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,8630.577148,0.388553,6,Pure Quartz
HyLogger 3-7,2021-10-13 13:30:18,C:\Lingbo\IanLau\runtsg\working\TestRocks_20211013_1_tsgtray_tir,8631.648438,0.175264,6,Pure Quartz
HyLogger 3-7,2021-10-13 15:25:02,C:\Lingbo\IanLau\runtsg\working\TestRocks_20211013_2_tsgtray_tir,8631.817383,0.131591,6,Pure Quartz
HyLogger 3-5,2021-03-26 09:44:53,C:\Lingbo\IanLau\runtsg\working\TestRocks_2_tsgtray_tir,8630.622070,0.347114,6,Pure Quartz
HyLogger 3-5,2021-03-26 14:32:20,C:\Lingbo\IanLau\runtsg\working\TestRocks_3_tsgtray_tir,8630.611328,0.366703,6,Pure Quartz
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray_tir,8630.643555,0.405361,6,Pure Quartz
HyLogger 3-5,2021-04-09 09:28:58,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_1_tsgtray_tir,8630.637695,0.344735,6,Pure Quartz
HyLogger 3-5,2021-04-09 09:31:39,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_2_tsgtray_tir,8630.625000,0.376068,6,Pure Quartz
HyLogger 3-5,2021-04-09 14:17:01,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_3_tsgtray_tir,8630.603516,0.264728,6,Pure Quartz
HyLogger 3-5,2021-04-09 14:19:53,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_4_tsgtray_tir,8630.664063,0.321159,6,Pure Quartz
HyLogger 3-5,2021-04-13 09:36:01,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210413-TestRocks_1_tsgtray_tir,8630.431641,0.439283,6,Pure Quartz
HyLogger 3-5,2021-04-13 09:51:47,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210413-TestRocks_2_tsgtray_tir,8630.488281,0.374499,6,Pure Quartz
HyLogger 3-5,2021-04-13 14:13:19,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210413-TestRocks_3_tsgtray_tir,8630.680664,0.379361,6,Pure Quartz
HyLogger 3-5,2021-04-13 14:15:43,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210413-TestRocks_4_tsgtray_tir,8630.630859,0.401342,6,Pure Quartz
HyLogger 3-5,2021-04-20 08:55:13,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_1_tsgtray_tir,8630.548828,0.389300,6,Pure Quartz
HyLogger 3-5,2021-04-20 08:58:46,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_2_tsgtray_tir,8630.502930,0.378938,6,Pure Quartz
HyLogger 3-5,2021-04-20 14:03:46,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_3_tsgtray_tir,8630.566406,0.394625,6,Pure Quartz
HyLogger 3-5,2021-04-20 14:06:56,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210420-TestRocks_4_tsgtray_tir,8630.497070,0.368998,6,Pure Quartz
HyLogger 3-5,2021-04-27 10:39:58,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_1_tsgtray_tir,8630.510742,0.389886,6,Pure Quartz
HyLogger 3-5,2021-04-27 10:43:20,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_2_tsgtray_tir,8630.436523,0.448890,6,Pure Quartz
HyLogger 3-5,2021-04-27 13:09:48,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_3_tsgtray_tir,8630.596680,0.379643,6,Pure Quartz
HyLogger 3-5,2021-04-27 13:13:33,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210427-TestRocks_4_tsgtray_tir,8630.592773,0.457963,6,Pure Quartz
HyLogger 3-5,2021-04-28 08:41:57,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_1_tsgtray_tir,8630.421875,0.336328,6,Pure Quartz
HyLogger 3-5,2021-04-28 08:50:52,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_2_tsgtray_tir,8630.491211,0.474955,6,Pure Quartz
HyLogger 3-5,2021-04-28 14:39:31,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_3_tsgtray_tir,8630.623047,0.416083,6,Pure Quartz
HyLogger 3-5,2021-04-28 14:41:43,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210428-TestRocks_4_tsgtray_tir,8630.626953,0.387128,6,Pure Quartz
HyLogger 3-5,2021-04-29 08:23:15,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_1_tsgtray_tir,8630.383789,0.402436,6,Pure Quartz
HyLogger 3-5,2021-04-29 08:25:47,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_2_tsgtray_tir,8630.419922,0.459934,6,Pure Quartz
HyLogger 3-5,2021-04-29 08:46:05,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_3_tsgtray_tir,8630.466797,0.430566,6,Pure Quartz
HyLogger 3-5,2021-04-29 08:48:22,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_4_tsgtray_tir,8630.433594,0.337228,6,Pure Quartz
HyLogger 3-5,2021-05-04 08:33:20,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_1_tsgtray_tir,8630.434570,0.373888,6,Pure Quartz
HyLogger 3-5,2021-05-04 08:38:27,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_2_tsgtray_tir,8630.486328,0.381060,6,Pure Quartz
HyLogger 3-5,2021-05-04 11:44:25,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_3_tsgtray_tir,8630.628906,0.317805,6,Pure Quartz
HyLogger 3-5,2021-05-04 11:46:40,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_4_tsgtray_tir,8630.608398,0.357830,6,Pure Quartz
HyLogger 3-3,2021-09-28 10:18:13,C:\Lingbo\IanLau\runtsg\working\28September2021-errors-284470_39_tsgtray_tir,8626.348633,0.901488,27,Pure Quartz
HyLogger 3-3,2021-09-28 09:39:15,C:\Lingbo\IanLau\runtsg\working\28September2021-TestrocksAM280921_1_tsgtray_tir,8627.453125,0.269561,6,Pure Quartz
HyLogger 3-6,2021-09-30 10:47:36,C:\Lingbo\IanLau\runtsg\working\30Sep2021-TESTROCKS_1_tsgtray_tir,8627.162109,0.671653,14,Pure Quartz
HyLogger 3-6,2021-09-30 16:42:48,C:\Lingbo\IanLau\runtsg\working\30Sep2021-TESTROCKS_2_tsgtray_tir,8627.400391,0.685222,14,Pure Quartz
HyLogger 3-2,2021-08-02 15:41:28,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_02-TestRockspm_1_tsgtray_tir,8627.209961,0.516379,8,Pure Quartz
HyLogger 3-2,2021-08-02 08:03:22,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_02-TestRocks_1_tsgtray_tir,8627.330078,0.428641,7,Pure Quartz
HyLogger 3-2,2021-08-03 15:43:52,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_03-TestRockspm_1_tsgtray_tir,8627.466797,0.521046,7,Pure Quartz
HyLogger 3-2,2021-08-03 08:01:17,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_03-TestRocks_1_tsgtray_tir,8627.179688,0.469520,7,Pure Quartz
HyLogger 3-2,2021-08-05 15:27:15,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_05-TestRockspm_1_tsgtray_tir,8627.487305,0.516247,7,Pure Quartz
HyLogger 3-2,2021-08-05 08:00:36,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_05-TestRocks_1_tsgtray_tir,8627.215820,0.466956,7,Pure Quartz
HyLogger 3-2,2021-08-06 15:38:01,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_06-TestRockspm_1_tsgtray_tir,8627.446289,0.481033,7,Pure Quartz
HyLogger 3-2,2021-08-06 08:03:51,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_06-TestRocks_1_tsgtray_tir,8627.169922,0.514492,8,Pure Quartz
HyLogger 3-2,2021-08-09 15:40:57,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_09-TestRockspm_1_tsgtray_tir,8627.432617,0.532820,7,Pure Quartz
HyLogger 3-2,2021-08-09 08:05:55,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_09-TestRocks_1_tsgtray_tir,8627.348633,0.437584,8,Pure Quartz
HyLogger 3-2,2021-08-10 15:31:15,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_10-TestRockspm_1_tsgtray_tir,8627.434570,0.411109,7,Pure Quartz
HyLogger 3-2,2021-08-10 07:54:43,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_10-TestRocks_1_tsgtray_tir,8627.182617,0.498155,7,Pure Quartz
HyLogger 3-2,2021-08-12 15:39:54,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_12-TestRockspm_1_tsgtray_tir,8627.414063,0.506244,8,Pure Quartz
HyLogger 3-2,2021-08-12 08:05:46,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_12-TestRocks_1_tsgtray_tir,8627.226563,0.417555,7,Pure Quartz
HyLogger 3-2,2021-08-13 14:55:33,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRockspm_1_tsgtray_tir,8627.223633,0.774712,7,Pure Quartz
HyLogger 3-2,2021-08-13 15:48:20,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRockspm_2_tsgtray_tir,8627.375000,0.474170,7,Pure Quartz
HyLogger 3-2,2021-08-13 08:00:40,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRocks_1_tsgtray_tir,8627.199219,0.452914,8,Pure Quartz
HyLogger 3-2,2021-08-16 15:37:50,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_16-TestRockspm_1_tsgtray_tir,8627.428711,0.466934,7,Pure Quartz
HyLogger 3-2,2021-08-16 08:03:34,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_16-TestRocks_1_tsgtray_tir,8627.317383,0.468360,8,Pure Quartz
HyLogger 3-2,2021-08-16 15:28:08,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_16-Test_1_tsgtray_tir,0.000000,0.000000,0,
HyLogger 3-2,2021-08-16 15:31:53,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_16-Test_2_tsgtray_tir,8627.081055,0.375402,3,Mixed Quartz
HyLogger 3-2,2021-08-17 15:28:14,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_17-TestRockspm_1_tsgtray_tir,8627.409180,0.536531,7,Pure Quartz
HyLogger 3-2,2021-08-17 08:20:44,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_17-TestRocks_1_tsgtray_tir,8627.405273,0.502171,7,Pure Quartz
HyLogger 3-2,2021-08-19 15:41:05,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_19-TestRockspm_1_tsgtray_tir,8627.437500,0.543157,7,Pure Quartz
HyLogger 3-2,2021-08-19 08:01:31,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_19-TestRocks_1_tsgtray_tir,8627.311523,0.585534,8,Pure Quartz
HyLogger 3-2,2021-08-20 15:45:26,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_20-TestRockspm_1_tsgtray_tir,8627.528320,0.397286,7,Pure Quartz
HyLogger 3-2,2021-08-20 08:00:26,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_20-TestRocks_1_tsgtray_tir,8627.514648,0.444860,7,Pure Quartz
HyLogger 3-2,2021-08-23 15:41:39,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_23-TestRockspm_1_tsgtray_tir,8627.496094,0.436614,7,Pure Quartz
HyLogger 3-2,2021-08-23 08:05:01,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_23-TestRocks_1_tsgtray_tir,8627.429688,0.441729,7,Pure Quartz
HyLogger 3-2,2021-08-24 08:01:07,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_24-TestRocks_1_tsgtray_tir,8627.251953,0.457559,7,Pure Quartz
HyLogger 3-2,2021-08-26 15:44:20,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_26-TestRockspm_1_tsgtray_tir,8627.412109,0.439932,8,Pure Quartz
HyLogger 3-2,2021-08-26 08:17:59,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_26-TestRocks_1_tsgtray_tir,8627.446289,0.445189,7,Pure Quartz
HyLogger 3-2,2021-08-27 15:35:07,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_27-TestRockspm_1_tsgtray_tir,8627.503906,0.449289,7,Pure Quartz
